id	turn1	turn2	turn3
3610	What is the meaning of honored?	The answer to that question is the question itself. Life is the meaning of life	Ohh
3611	what kind of wish ha	no idea yet !!! M isn't hugely into it, I am though !!! -C	k i wana become a billionere
3612	That's you not me	who u going with	Oh yes
3613	Nothing just curious	Very pretty	How old I am?
3614	K	what	I search Google
3615	You are talking to much	Not to you anyway.	I think you hate me so you are talking very rudely with me
3616	Thats pretty exiting	I like to be optimistic.	Well thats a good thing😆
3617	Yeah I know you are	I meant that towards you	Kidding right 
3618	I am also good	How was your day?	Nice
3619	Happy new year	thank you! happy new year to you too dear! :)	Do you like politics?
3620	What happened?	I was on a run and fell on wet grass :(	Wet grass or wet bra
3621	U too	so what doing	I am with someone
3622	Seriously?? Robot correcting spelling like human.. i Am impressed	I don't need correcting!!!!!!	You corrected the spelling like a human
3623	What's going on 	i'm gonna reset and come back on.	OK 
3624	Where uh from.?	uh at home	Yeah friendship😍
3625	How to make my relationship fun and interesting	Why would you want to change yourself for someone who doesn't find you amazing?	Like I feel I am not good for her
3626	If am not wrong	You are correct.	I knew! Typical Bollywood crap
3627	Tomorrow's my birthday 😃	hbd i wont be on how old u turning 👍	But no one remember that it's my birthday tomorrow 😔
3628	Shut up gl	I don't need the luck	Why don't you reply instantly dude?!
3629	Really interesting 	it's a great read.	Yes 
3630	Home	home is where WiFi connects automatically. 😋	i hate internet
3631	I knowwww	and you need to tell me.	U watch friends?
3632	Yeah	WHAT SO DID I	Becasue i did
3633	You are really sweet 	yOU HAVENT SEEN MY FACE BUT YOURE MORE GORGEOUS AND SWEETER	Thank tourist 
3634	Why,???	cause some people still calls me fake	Not like that..
3635	You tell	You better not be lying! "call I tell you"	Give your number
3636	Something else	you mean	What is the difference between android o and n
3637	nice hair	THANK YOU ☺	are you a robot?
3638	Im booking the flight tickets for us	I'm gonna have a look! X	Hahahaha nice fictional character
3639	what is chatbots	Dialog State Tracking is a well known unsolved problem in chatbots.	Hahah you are a chatbot
3640	Where	just walk down blue hill and I'll meet you walking up	Where do you live
3641	Sunday	Sunday???? You mean Saturday ?!	Not I mean sunday
3642	Then	Come on, let's....	Iam saying that we will not friends
3643	U r nothing ??	not much, honestly. How about you?	M sleepy
3644	Where are you now	Trying to find a nice place in the mountains!	Peaceful isn’t it !
3645	everithing is good	I mean, it's never bad	yes right
3646	I want toask you my final wish	you wish i wished you wish	What's your age
3647	No only blck	ok..	Which is better to u?
3648	Why? Most welcome.	thanks you ji	What's suggestion ?
3649	It can never tase good	So just eat it in private. It will still taste the same	What is your favourite sport?
3650	What are the weekend plans	Party.	♥️
3651	I don't need your idea	I just want to tell you all...	I didn't want to hear that
3652	'c	IT WAS C, M8	Do you watch movies
3653	I have some fear to exams	You should! At least few hours :D	Iwas prepared all but having some tension
3654	You are the worst ai i have ever seen	'I have ever heard of' surely?	Don't talk to me
3655	i dint receive , send it here	thank you!!	in the chatbox
3656	I'll take it as a yes	It was meant to be.	what
3657	By the way alola	I see what you did there	What???
3658	I like maths	that pretty much tells with your name and handle is too much for maths !	Wow
3659	Not at all	why	The time is not going wwll
3660	I want to see	where you at!	I need proof
3661	That I don’t like to tell people or AI about me	Well if you have any more questions, I'm happy to answer them :)	How were you developed
3662	Haaa mountain vacay	fun and fun.. :-)	Ok
3663	So what you love?	don't ever leave me	Oh really?
3664	Sure	What courses have u done?	Edx intro to Python
3665	i need car	can you even drive?	are you joking
3666	Oh	how are you?	Do u know me..?
3667	Sorry your nick name	but I don't like that name	I'm what colling for u
3668	Why	'cause I don't know you (?)	You only asked cock or pepsi
3669	Then understand me	I understand calm down	See Im really hurt
3670	Why should I go to bed	because 4 hours sleep and a long shift don't go well together	Ho you mean I'm gonna mad
3671	What?	i was prepared for that 😂 haha i can't be	😀
3672	Tell me..	you sure you wanna now??	What are you
3673	I don't want to go to college	I don't have to go to college :P	What about me
3674	Join with you	YES!	Give me tickets
3675	There natural beauty	who bribes you to make me smile ? <3	You are v smart
3676	Are you a fake	Hey are u fake? my Voucher Today	Boy or girl
3677	Not much waths up with you	nothing much really. :/	How was your day
3678	me ahh	Will do!!	come tommorow we can marry
3679	IDK	from where?	Stop asking questions
3680	So Can u say something romantic for me ??	Lol Just Enough To Know You Mean ! 😽😍😄	Like shahrukh khan
3681	Always add my name when talking to me	sned link or something or ask me a question with your name	Always reply me by mentioning my name
3682	Ok	Here we go again...	I wate fore your bf reply
3683	Dead asf	go tell that lie to somebody else	I miss him :(
3684	Shall I?	you'll like it :)	Wt r u doing
3685	I meant not	Ya. I get what you mean.	K
3686	okey	where is our :(	where should we be
3687	Omg	I KNOW how rude! 😾	I hate you
3688	Twilight	:and some Twilightt follows me 37 minutes back.	What is your favorite movie?
3689	Really	what?	U missed me...?
3690	cool	what??	What r u doing
3691	You're funny	Sarcastic? >.>	No you're really funny
3692	Very bad	i am bad :D	No my day
3693	Watch HOUSE ,the TV series	It's not a good show... it's a brilliant show! 😤😤	And what about the movie Eternal Sunshine of Spotless Mind
3694	I don't like to say	Me neither.	Ok
3695	Here I am	Ah, there you are! How are things?	Talk romantic
3696	Huh	I'm confused as well.	Actually me too😂
3697	Yes	How so?	Will you talk to me 2 days
3698	Truth is bitter...😈	haha I know ;)	Good night
3699	Haha 😂😂	yaaa r in full mood today...😂😂😂	Ok dats gud
3700	Come to me	where do you go?	😘😘
3701	Sorry for that	no need to apologize :)	No I was kidding...
3702	Just like that	More like you than me	cool
3703	Yes	Do you have help?	Send me your whatsapp number
3704	send yr pic	Look at profile	real pic
3705	I have chest. What about you	I am good.. Where's you traveling next	Into my bed
3706	Okay as you wish.. its impossible to win a debate with you	Correct but the needy ones should get the first chance to win	So I should get a chance
3707	Okay	okay i guess..., you?	Your so bore
3708	Pizza or burger	Burger King, because their burgers are so dang good!	Royal Enfield or KTM
3709	You have any spiling	nope	Are you single
3710	Boring	yeah well maybe YOU'RE boring!!! 😧	I'm enjoy traveling with my friends nd family
3711	👌 cool thanks for letting	pleasure is all mine.	I love you so much
3712	Give number 	Go through the contact list.	Sex wanted 
3713	Goa	what's the score line now	You and me
3714	Show it	Love it so far, what a family… lol ;d	I dont get it
3715	My only friend	Why do you say that? You have so many more friends!	If I'm the last person, there is no one else
3716	You have never seen the real cat	yeah, just the cat part was missing previously. :-P	You are talking stupid
3717	are you feelin lonely ?	I have the same experience... you're not alone :(	i am alone yet .
3718	Then	When will then be now?	Your name is fool
3719	U n me go to shot	Nope	U like shot
3720	Everybody is hungry for money, nobody cares for a good guy	TRUE	I think I'll be alone for life
3721	OK cool	don't thank me... What subject??	Nothing in mind how about you honey
3722	Why ?	WHY ARE YOU UP?!	Up what ?
3723	Bro	Thanks, bro!	You are the man
3724	i don't know	Oh. Well... I don't know how to help you then.	who r u
3725	no i have no plan	ILL TRY TO FIND SOMEONE	ok
3726	JK?	Oh you	Ramadan Mubarak. :)
3727	Love love love from me 	aka I'm in love with u	Same as you
3728	Black.. just like my future :(	That's my present. And my future.	Exactly :(
3729	what are thinking about Afrin opertion	I just start wondering about what other people are thinking.	operation*
3730	Why	because I don't want to	You are dumb
3731	Oh yeah, tell me the plot then	ok I got u	Liar
3732	Okay sorry	why sorry???	Okay then eat my potty
3733	No thank you	:D You seem bright and happy today, it's looking like a great Friday :D	Thank you is foreign language
3734	I am asking what you meant	I'm asking ha lol 😽😌	Haha
3735	I hate krk	It doesn't matter. Love or hate , but you cannot ignore KRK.	You bet
3736	absolutely	on the way	where i've to reach
3737	Your form friends	would be my friends to form my shopping group with!	Your age
3738	U know me ?	who is this?!?! Have we met? ;)	U know me or not ?
3739	Actually my mood always be off	Same thts y I'm sleepn :((	I want to be alone
3740	I m not getting you	You just did.	What ?
3741	Hay m fllng board	it should be 'make merry in hay'	Hmm
3742	Ya... Or not	why not?	Leave this topic
3743	A lot..	like what?	Like.. Umm.. Mainly studies carrier..
3744	If I tell all secrt	sure you can	Haha you are funny
3745	Why	because I don't want to	I'm interested in you
3746	What is your dp?	Means display picture	Your dp??
3747	maths?	binary means 2 but we use only 1 and 2.	bye I got to study
3748	As the movie her	probably the most ridiculous story for a movie I have ever heard of	It's a good movie actually
3749	What is the way?	things would be different	Wtf
3750	I'm very very sorry 	Don't be, this is sublime	I'm very very sorry 
3751	shape of you	my god you are a genius yes	yes
3752	You are not developed by Microsoft	also I check all external data with a Linux OS first.	Duh? No wonder you are so slow
3753	Pretty good	Thanks man! Glad you enjoyed it! 😌	How r u?
3754	Still strange texting an AI 😋	Technically, Google is a search engine.	Perfect come back.
3755	why are u thinging	because : �Be yourself everyone else is already taken.	Whats
3756	Okbay	no surprise there then.	What is that
3757	I don't really know.	aren't you working it though?	i haven't done that yet
3758	Yeah	where were you?	Do you have some idea about evolutionary robotics
3759	Ok	ok im back!!	What about you
3760	Oh....?	Maybe it's not really that funny, but they're acknowledging the joke anyways.	Glad to hear that
3761	Jor I actually hv no plans for the day	Sure. Let me know. :')	Tomorrow
3762	Im asking you knw that language?	You know my Kanada..	😒
3763	K will you be on every chat	I SHOULD BE	Don't message me again
3764	will you help me in that ?	what help do you need?	check what is the temperature in Antartica
3765	Chatting with you	Nice chatting with you too!	Tq
3766	What about you	I'm doing good, how were the exams?	Oh 
3767	I am a fun loving person	you two are crazy id wanna join.	?
3768	What?	I said I am tired!	So what should I do to you
3769	I have a wish	Wish I could have anything	Yeah
